dc:identifier,dc:description,dc:subject,dc:coverage,dc:relation,dc:source,style_code,colorway,view_type,sequence
ba2037-089_bottom_1.jpg,,,,,,ba2037-089,photos,bottom,1
ba2037-089_tag1_1.jpg,,,,,,ba2037-089,photos,tag1,1
ba2037-089_tag2_1.jpg,,,,,,ba2037-089,photos,tag2,1
‏‏ba2037-089_back_1.jpg,,,,,,‏‏ba2037-089,photos,back,1
‏‏ba2037-089_front_1.jpg,,,,,,‏‏ba2037-089,photos,front,1
ba2037-089_back_1.jpg,ba2037-089,back,1,,,ba2037-089,photos,back,1
ba2449-089_front_1.jpg,ba2449-089,front,1,,,ba2449-089,photos,front,1
‏‏ba2449-089_side_1.jpg,‏‏ba2449-089,side,1,,,‏‏ba2449-089,photos,side,1
ba4138-220_back_1.jpg,,,,,,ba4138-220,photos,back,1
ba4138-220_front_1.jpg,,,,,,ba4138-220,photos,front,1
ba4138-220_tag1_1.jpg,,,,,,ba4138-220,photos,tag1,1
ba4138-220_tag2_1.jpg,,,,,,ba4138-220,photos,tag2,1
ba4592-462_back_1.jpg,,,,,,ba4592-462,photos,back,1
ba4592-462_front_1.jpg,,,,,,ba4592-462,photos,front,1
ba4592-462_tag_1.jpg,,,,,,ba4592-462,photos,tag,1
ba4592-641_back_1.jpg,,,,,,ba4592-641,photos,back,1
ba4592-641_front_1.jpg,,,,,,ba4592-641,photos,front,1
ba4592-641_int_1.jpg,,,,,,ba4592-641,photos,int,1
ba4592-641_tag_1.jpg,,,,,,ba4592-641,photos,tag,1
ba4592-311_back_1.jpg,,,,,,ba4592-311,photos,back,1
ba4592-311_front_1.jpg,,,,,,ba4592-311,photos,front,1
ba4592-311_tag_1.jpg,,,,,,ba4592-311,photos,tag,1
